family,planner,unique_area_coverage_ratio,unique_area_coverage_ratio_ci_low,unique_area_coverage_ratio_ci_high,detection_probability_within_limit,detection_probability_within_limit_ci_low,detection_probability_within_limit_ci_high,conditional_mean_detection_time_s,conditional_mean_detection_time_s_ci_low,conditional_mean_detection_time_s_ci_high,restricted_mean_detection_time_s,restricted_mean_detection_time_s_ci_low,restricted_mean_detection_time_s_ci_high,failure_rate_within_limit,failure_rate_within_limit_ci_low,failure_rate_within_limit_ci_high,model_minus_flown_mean
synthetic,stone-spx,0.07856003201067237,0.0748233345187846,0.08263688372694251,0.370175,0.3311225,0.40752937499999997,199.64513323112283,192.85595731666223,207.50022559099,376.2196371938309,365.6347503211587,386.90973931443585,0.6298250000000001,0.592470625,0.6688775,0.023450202234171522
synthetic,mappo-stone,0.07048705831508795,0.06997664044954732,0.07134367394354454,0.305925,0.2682,0.344075625,200.58675959297344,191.6132387726216,209.21932453425802,394.52050442848036,383.6764929506314,404.58870614213123,0.694075,0.655924375,0.7318,0.02432279058479366
control,stone-spx,0.07140627306489941,0.06969319103115987,0.07369237208553439,0.360975,0.34919937500000003,0.37452749999999996,179.34637490221064,175.01951451531414,183.58853322550164,371.4715576803255,366.29516158958194,376.3474762328606,0.639025,0.6254725000000001,0.650800625,-0.002033352153992754
control,mappo-stone,0.07134956825890455,0.07002431725353513,0.0727762164107832,0.3262,0.310946875,0.34080062499999997,191.67171867799163,185.80359223222257,197.81132458222427,385.9473146327609,380.2761240340241,392.0069162596723,0.6738,0.659199375,0.689053125,-0.004844197960970048
