grid,mean_difference,mean_difference_is,confidence_interval,confidence,ci_method,seed_count,paired_seeds,inference_valid,significant,status,both_arms_certified,reading
reduced-4x4,0.07090723906251581,terrain-weighted SPX minus terrain-unweighted SPX,0.061318431913266656;0.08039276640190901,0.95,paired planning-seed cluster percentile bootstrap,20,20260201;20260202;20260203;20260204;20260205;20260206;20260207;20260208;20260209;20260210;20260211;20260212;20260213;20260214;20260215;20260216;20260217;20260218;20260219;20260220,True,True,valid,True,두 팔 모두 최적성이 증명됐다. 차이를 지형 가중의 효과로 읽을 수 있다.
reduced-5x5,0.13426513688356026,terrain-weighted SPX minus terrain-unweighted SPX,0.11963043115300512;0.14907021133728618,0.95,paired planning-seed cluster percentile bootstrap,20,20260201;20260202;20260203;20260204;20260205;20260206;20260207;20260208;20260209;20260210;20260211;20260212;20260213;20260214;20260215;20260216;20260217;20260218;20260219;20260220,True,True,valid,False,"한쪽 이상의 최적성 인증이 열려 있다. 지형 가중을 끄면 셀 hazard 가 균일해져 대칭해가 폭발하고 정수 master 가 그 대칭을 깨지 못한다. 따라서 이 차이는 두 최적해의 차이가 아니라 **인증된 해와 미인증 해의 차이**이고, 지형 가중 효과의 하한으로만 읽어야 한다."
